Symbol,Whether ETF,Company Name,Exchange Market Place
BUD,False,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),nyse
BWA,False,BorgWarner Inc. Common Stock,nyse
BX,False,Blackstone Inc. Common Stock,nyse
BXP,False,"Boston Properties, Inc. Common Stock",nyse
C,False,"Citigroup, Inc. Common Stock",nyse
CAG,False,"ConAgra Brands, Inc. Common Stock",nyse
CAH,False,"Cardinal Health, Inc. Common Stock",nyse
CAR,False,"Avis Budget Group, Inc. - Common Stock",nasdaq
CARR,False,Carrier Global Corporation Common Stock ,nyse
CAT,False,"Caterpillar, Inc. Common Stock",nyse
CB,False,Chubb Limited  Common Stock,nyse
CBOE,False,"Cboe Global Markets, Inc. Common Stock",bats
CBRE,False,CBRE Group Inc Common Stock Class A,nyse
CCI,False,Crown Castle Inc. Common Stock,nyse
CCJ,False,Cameco Corporation Common Stock,nyse
CCL,False,Carnival Corporation Common Stock,nyse
CDAY,False,Ceridian HCM Holding Inc. Common Stock,nyse
CDNS,False,"Cadence Design Systems, Inc. - Common Stock",nasdaq
CDW,False,CDW Corporation - Common Stock,nasdaq
CE,False,Celanese Corporation Celanese Corporation Common Stock,nyse
CEG,False,Constellation Energy Corporation - Common Stock,nasdaq
CF,False,"CF Industries Holdings, Inc. Common Stock",nyse
CFG,False,"Citizens Financial Group, Inc. Common Stock",nyse
CGC,False,Canopy Growth Corporation - Common Shares,nasdaq
CHD,False,"Church & Dwight Company, Inc. Common Stock",nyse
CHK,False,Chesapeake Energy Corporation - Common Stock,nasdaq
CHKP,False,Check Point Software Technologies Ltd. - Ordinary Shares,nasdaq
CHRW,False,"C.H. Robinson Worldwide, Inc. - Common Stock",nasdaq
CHTR,False,"Charter Communications, Inc. - Class A Common Stock",nasdaq
CHWY,False,"Chewy, Inc. Class A Common Stock",nyse
CI,False,Cigna Corporation Common Stock,nyse
CINF,False,Cincinnati Financial Corporation - Common Stock,nasdaq
CL,False,Colgate-Palmolive Company Common Stock,nyse
CLX,False,Clorox Company (The) Common Stock,nyse
CMA,False,Comerica Incorporated Common Stock,nyse
CMCSA,False,Comcast Corporation - Class A Common Stock,nasdaq
CME,False,CME Group Inc. - Class A Common Stock,nasdaq
CMG,False,"Chipotle Mexican Grill, Inc. Common Stock",nyse
CMI,False,Cummins Inc. Common Stock,nyse
CMS,False,CMS Energy Corporation Common Stock,nyse
CNC,False,Centene Corporation Common Stock,nyse
CNI,False,Canadian National Railway Company Common Stock,nyse
CNK,False,"Cinemark Holdings Inc Cinemark Holdings, Inc. Common Stock",nyse
CNP,False,"CenterPoint Energy, Inc (Holding Co) Common Stock",nyse
CNQ,False,Canadian Natural Resources Limited Common Stock,nyse
COF,False,Capital One Financial Corporation Common Stock,nyse
COIN,False,"Coinbase Global, Inc. - Class A Common Stock",nasdaq
COO,False,"The Cooper Companies, Inc. Common Stock",nyse
COP,False,ConocoPhillips Common Stock,nyse
COST,False,Costco Wholesale Corporation - Common Stock,nasdaq
COUP,False,Coupa Software Incorporated - Common Stock,nasdaq
CP,False,Canadian Pacific Railway Limited Common Stock,nyse
CPB,False,Campbell Soup Company Common Stock,nyse
CPNG,False,"Coupang, Inc. Class A Common Stock",nyse
CPRT,False,"Copart, Inc. - Common Stock",nasdaq
CPT,False,Camden Property Trust Common Stock,nyse
CRL,False,"Charles River Laboratories International, Inc. Common Stock",nyse
CRM,False,"Salesforce, Inc. Common Stock",nyse
CRWD,False,"CrowdStrike Holdings, Inc. - Class A Common Stock",nasdaq
CSCO,False,"Cisco Systems, Inc. - Common Stock",nasdaq
CSGP,False,"CoStar Group, Inc. - Common Stock",nasdaq
CSL,False,Carlisle Companies Incorporated Common Stock,nyse
CSX,False,CSX Corporation - Common Stock,nasdaq
CTAS,False,Cintas Corporation - Common Stock,nasdaq
CTLT,False,"Catalent, Inc. Common Stock",nyse
CTRA,False,Coterra Energy Inc. Common Stock,nyse
CTSH,False,Cognizant Technology Solutions Corporation - Class A Common Stock,nasdaq
CTVA,False,"Corteva, Inc. Common Stock ",nyse
CURE,True,Direxion Daily Healthcare Bull 3X Shares,nysearca
CVE,False,Cenovus Energy Inc Common Stock,nyse
CVS,False,CVS Health Corporation Common Stock,nyse
CVX,False,Chevron Corporation Common Stock,nyse
CZR,False,"Caesars Entertainment, Inc. - Common Stock",nasdaq
D,False,"Dominion Energy, Inc. Common Stock",nyse
DAL,False,"Delta Air Lines, Inc. Common Stock",nyse
DAR,False,Darling Ingredients Inc. Common Stock,nyse
DASH,False,"DoorDash, Inc. Class A Common Stock",nyse
DD,False,"DuPont de Nemours, Inc. Common Stock",nyse
DDOG,False,"Datadog, Inc. - Class A Common Stock",nasdaq
DE,False,Deere & Company Common Stock,nyse
DELL,False,Dell Technologies Inc. Class C Common Stock ,nyse
DEO,False,Diageo plc Common Stock,nyse
DFEN,True,Direxion Daily Aerospace & Defense Bull 3X Shares,nysearca
DFS,False,Discover Financial Services Common Stock,nyse
DG,False,Dollar General Corporation Common Stock,nyse
DGX,False,Quest Diagnostics Incorporated Common Stock,nyse
DHI,False,"D.R. Horton, Inc. Common Stock",nyse
DHR,False,Danaher Corporation Common Stock,nyse
DIA,True,SPDR Dow Jones Industrial Average ETF,nysearca
DINO,False,HF Sinclair Corporation Common Stock,nyse
DIS,False,Walt Disney Company (The) Common Stock,nyse
DISH,False,DISH Network Corporation - Class A Common Stock,nasdaq
DKNG,False,DraftKings Inc. - Class A Common Stock,nasdaq
DLR,False,"Digital Realty Trust, Inc. Common Stock",nyse
DLTR,False,"Dollar Tree, Inc. - Common Stock",nasdaq
DOCU,False,"DocuSign, Inc. - Common Stock",nasdaq
DOV,False,Dover Corporation Common Stock,nyse
DOW,False,Dow Inc. Common Stock ,nyse
DPZ,False,Domino's Pizza Inc Common Stock,nyse
DRI,False,"Darden Restaurants, Inc. Common Stock",nyse
DRN,True,Direxion Daily Real Estate Bull 3X Shares,nysearca
DTE,False,DTE Energy Company Common Stock,nyse
DUK,False,Duke Energy Corporation (Holding Company) Common Stock,nyse
DUSL,True,Direxion Daily Industrials Bull 3X Shares,nysearca
DVA,False,DaVita Inc. Common Stock,nyse
DVN,False,Devon Energy Corporation Common Stock,nyse
DXC,False,DXC Technology Company Common Stock ,nyse
DXCM,False,"DexCom, Inc. - Common Stock",nasdaq
EA,False,Electronic Arts Inc. - Common Stock,nasdaq
EBAY,False,eBay Inc. - Common Stock,nasdaq
ECL,False,Ecolab Inc. Common Stock,nyse
ED,False,"Consolidated Edison, Inc. Common Stock",nyse
EFX,False,"Equifax, Inc. Common Stock",nyse
EIX,False,Edison International Common Stock,nyse
EL,False,"Estee Lauder Companies, Inc. (The) Common Stock",nyse
ELV,False,"Elevance Health, Inc. Common Stock",nyse
EMN,False,Eastman Chemical Company Common Stock,nyse
EMR,False,Emerson Electric Company Common Stock,nyse
ENB,False,Enbridge Inc Common Stock,nyse
ENPH,False,"Enphase Energy, Inc. - Common Stock",nasdaq
ENTG,False,"Entegris, Inc. - Common Stock",nasdaq
EOG,False,"EOG Resources, Inc. Common Stock",nyse
EPAM,False,"EPAM Systems, Inc. Common Stock",nyse
EPD,False,Enterprise Products Partners L.P. Common Stock,nyse
EQIX,False,"Equinix, Inc. - Common Stock",nasdaq
EQNR,False,Equinor ASA,nyse
EQR,False,Equity Residential Common Shares of Beneficial Interest,nyse
EQT,False,EQT Corporation Common Stock,nyse
ERX,True,Direxion Energy Bull 2X Shares,nysearca
ES,False,Eversource Energy (D/B/A) Common Stock,nyse
ESS,False,"Essex Property Trust, Inc. Common Stock",nyse
ET,False,Energy Transfer LP Common Units ,nyse
ETN,False,"Eaton Corporation, PLC Ordinary Shares",nyse
ETR,False,Entergy Corporation Common Stock,nyse
ETSY,False,"Etsy, Inc. - Common Stock",nasdaq
EVRG,False,"Evergy, Inc. - Common Stock",nasdaq
EW,False,Edwards Lifesciences Corporation Common Stock,nyse
EXAS,False,Exact Sciences Corporation - Common Stock,nasdaq
EXC,False,Exelon Corporation - Common Stock,nasdaq
EXPD,False,"Expeditors International of Washington, Inc. - Common Stock",nasdaq
EXPE,False,"Expedia Group, Inc. - Common Stock",nasdaq
EXR,False,Extra Space Storage Inc Common Stock,nyse
F,False,Ford Motor Company Common Stock,nyse
FANG,False,"Diamondback Energy, Inc. - Common Stock",nasdaq
FAS,True,Direxion Financial Bull 3X Shares,nysearca
FAST,False,Fastenal Company - Common Stock,nasdaq
FBIN,False,"Fortune Brands Innovations, Inc. Common Stock",nyse
FCX,False,"Freeport-McMoRan, Inc. Common Stock",nyse
FDS,False,FactSet Research Systems Inc. Common Stock,nyse
FDX,False,FedEx Corporation Common Stock,nyse
FE,False,FirstEnergy Corp. Common Stock,nyse
FFIV,False,"F5, Inc. - Common Stock",nasdaq
FIS,False,"Fidelity National Information Services, Inc. Common Stock",nyse
FISV,False,"Fiserv, Inc. - Common Stock",nasdaq
FITB,False,Fifth Third Bancorp - Common Stock,nasdaq
FIVN,False,"Five9, Inc. - Common Stock",nasdaq
FLT,False,"FleetCor Technologies, Inc. Common Stock",nyse
FMC,False,FMC Corporation Common Stock,nyse
FMS,False,Fresenius Medical Care AG Common Stock,nyse
FND,False,"Floor & Decor Holdings, Inc. Common Stock",nyse
FNF,False,"FNF Group of Fidelity National Financial, Inc. Common Stock",nyse
FOX,False,Fox Corporation - Class B Common Stock,nasdaq
FOXA,False,Fox Corporation - Class A Common Stock,nasdaq
FRC,False,FIRST REPUBLIC BANK Common Stock,nyse
FRT,False,Federal Realty Investment Trust Common Stock,nyse
